fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-05-27,27/05/2026,oferta_demanda,Dólar de N.A.,,3.414,3.421,,,
2026-05-27,27/05/2026,oferta_demanda,Dólar Canadiense,,,2.479,,,
2026-05-27,27/05/2026,oferta_demanda,Libra Esterlina,,,4.924,,,
2026-05-27,27/05/2026,oferta_demanda,Yen Japonés,,0.021,0.024,,,
2026-05-27,27/05/2026,oferta_demanda,Peso Mexicano,,0.196,0.197,,,
2026-05-27,27/05/2026,oferta_demanda,Franco Suizo,,4.009,4.36,,,
2026-05-27,27/05/2026,oferta_demanda,Euro,,3.779,4.08,,,
2026-05-27,27/05/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-05-27,27/05/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-05-27,27/05/2026,mercado_profesional,Dólar de N.A.,,,,3.4173,,
