pais,moneda,tc
Argentina,Peso Argentino,0.0023
Australia,Dólar Australiano,2.372029
"Bolivia, Estado Plurinacional de",Boliviano,0.494828
Brasil,Real,0.664174
Bulgaria,Lev,1.983394
Canadá,Dólar Canadiense,2.413377
Chile,Peso Chileno,0.00367
China,Yuan,0.500951
China,Yuan Chino Off-Shore,0.50073
Colombia,Peso Colombiano,0.001052
"Corea, República de (Sur)",Won Surcoreano,0.002293
Costa Rica,Colón de Costa Rica,0.007554
Ecuador,Dólar de N.A.,3.392
Emiratos Árabes Unidos,Dirham,0.923519
Estados Unidos de América,Dólar de N.A.,3.392
Federación Rusa (Rusia),Rublo,0.043689
Filipinas,Peso de Filipinas,0.055066
Georgia,Lari Georgiano,1.299916
Guatemala,Quetzal,0.445146
Hong Kong,Dólar de Hong Kong,0.43267
India,Rupia de la India,0.035206
Indonesia,Rupia de Indonesia,0.00019
Japón,Yen Japonés,0.020885
Malasia,Dólar Malasio o Ringgit,0.833211
México,Peso Mexicano,0.194548
Namibia,Dólar Namibio,0.206688
Nigeria,Naira Nigeriana,0.002459
Noruega,Corona Noruega,0.350329
Panamá,Balboa,3.392
Paraguay,Guaraní,0.00056
Polonia,Zloty Polaco,0.896122
Reino Unido,Libra Esterlina,4.568966
República Dominicana,Peso de República Dominicana,0.058224
Singapur,Dólar de Singapur,2.627826
Suecia,Corona Sueca,0.351493
Suiza,Franco Suizo,4.19335
Tailandia,Baht,0.101007
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.105183
Turquía,Lira,0.072094
Unión,Europea Euro,3.87923
Uruguay,Peso Uruguayo,0.08442
Vietnam,Dong,0.000129
