fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-06-04,04/06/2026,oferta_demanda,Dólar de N.A.,,3.412,3.418,,,
2026-06-04,04/06/2026,oferta_demanda,Dólar Canadiense,,2.34,2.786,,,
2026-06-04,04/06/2026,oferta_demanda,Libra Esterlina,,4.259,4.781,,,
2026-06-04,04/06/2026,oferta_demanda,Yen Japonés,,0.021,0.022,,,
2026-06-04,04/06/2026,oferta_demanda,Peso Mexicano,,0.197,0.202,,,
2026-06-04,04/06/2026,oferta_demanda,Franco Suizo,,4.143,4.45,,,
2026-06-04,04/06/2026,oferta_demanda,Euro,,3.712,4.118,,,
2026-06-04,04/06/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-06-04,04/06/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-06-04,04/06/2026,mercado_profesional,Dólar de N.A.,,,,3.4144,,
