fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-08-12,12/08/2026,oferta_demanda,Dólar de N.A.,,3.359,3.365,,,
2026-08-12,12/08/2026,oferta_demanda,Dólar Canadiense,,2.225,2.428,,,
2026-08-12,12/08/2026,oferta_demanda,Libra Esterlina,,,4.628,,,
2026-08-12,12/08/2026,oferta_demanda,Yen Japonés,,,0.021,,,
2026-08-12,12/08/2026,oferta_demanda,Peso Mexicano,,0.197,0.198,,,
2026-08-12,12/08/2026,oferta_demanda,Franco Suizo,,,3.813,,,
2026-08-12,12/08/2026,oferta_demanda,Euro,,3.769,4.003,,,
2026-08-12,12/08/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-08-12,12/08/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-08-12,12/08/2026,mercado_profesional,Dólar de N.A.,,,,3.361,,
