fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-02-20,20/02/2026,oferta_demanda,Dólar de N.A.,,3.353,3.36,,,
2026-02-20,20/02/2026,oferta_demanda,Dólar Canadiense,,2.439,2.466,,,
2026-02-20,20/02/2026,oferta_demanda,Libra Esterlina,,4.543,4.73,,,
2026-02-20,20/02/2026,oferta_demanda,Yen Japonés,,,0.022,,,
2026-02-20,20/02/2026,oferta_demanda,Peso Mexicano,,0.195,0.196,,,
2026-02-20,20/02/2026,oferta_demanda,Franco Suizo,,,4.715,,,
2026-02-20,20/02/2026,oferta_demanda,Euro,,3.949,4.117,,,
2026-02-20,20/02/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-02-20,20/02/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-02-20,20/02/2026,mercado_profesional,Dólar de N.A.,,,,3.3561,,
