fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-08-13,13/08/2026,oferta_demanda,Dólar de N.A.,,3.361,3.371,,,
2026-08-13,13/08/2026,oferta_demanda,Dólar Canadiense,,2.269,2.47,,,
2026-08-13,13/08/2026,oferta_demanda,Libra Esterlina,,4.557,5.142,,,
2026-08-13,13/08/2026,oferta_demanda,Peso Mexicano,,0.197,0.198,,,
2026-08-13,13/08/2026,oferta_demanda,Franco Suizo,,3.984,4.28,,,
2026-08-13,13/08/2026,oferta_demanda,Euro,,3.627,4.029,,,
2026-08-13,13/08/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-08-13,13/08/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-08-13,13/08/2026,mercado_profesional,Dólar de N.A.,,,,3.3645,,
