pais,moneda,tc
Argentina,Peso Argentino,0.002232
Australia,Dólar Australiano,2.415873
"Bolivia, Estado Plurinacional de",Boliviano,0.27965
Brasil,Real,0.657387
Bulgaria,Lev,1.996678
Canadá,Dólar Canadiense,2.428418
Chile,Peso Chileno,0.003576
China,Yuan,0.502228
China,Yuan Chino Off-Shore,0.501959
Colombia,Peso Colombiano,0.001091
"Corea, República de (Sur)",Won Surcoreano,0.002512
Costa Rica,Colón de Costa Rica,0.007566
Ecuador,Dólar de N.A.,3.367
Emiratos Árabes Unidos,Dirham,0.916713
Estados Unidos de América,Dólar de N.A.,3.367
Federación Rusa (Rusia),Rublo,0.040205
Filipinas,Peso de Filipinas,0.05371
Georgia,Lari Georgiano,1.303271
Guatemala,Quetzal,0.441434
Hong Kong,Dólar de Hong Kong,0.429309
India,Rupia de la India,0.035236
Indonesia,Rupia de Indonesia,0.000192
Japón,Yen Japonés,0.021909
Malasia,Dólar Malasio o Ringgit,0.827578
México,Peso Mexicano,0.198481
Namibia,Dólar Namibio,0.208751
Nigeria,Naira Nigeriana,0.002539
Noruega,Corona Noruega,0.362491
Panamá,Balboa,3.367
Paraguay,Guaraní,0.000562
Polonia,Zloty Polaco,0.903433
Reino Unido,Libra Esterlina,4.553692
República Dominicana,Peso de República Dominicana,0.057239
Singapur,Dólar de Singapur,2.657459
Suecia,Corona Sueca,0.347195
Suiza,Franco Suizo,4.12572
Tailandia,Baht,0.102023
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.106424
Turquía,Lira,0.069283
Unión,Europea Euro,3.905127
Uruguay,Peso Uruguayo,0.083828
Vietnam,Dong,0.000131
