pais,moneda,tc
Argentina,Peso Argentino,0.002447
Australia,Dólar Australiano,2.396312
"Bolivia, Estado Plurinacional de",Boliviano,0.492747
Brasil,Real,0.667695
Bulgaria,Lev,2.024437
Canadá,Dólar Canadiense,2.446792
Chile,Peso Chileno,0.003799
China,Yuan,0.494818
China,Yuan Chino Off-Shore,0.49515
Colombia,Peso Colombiano,0.00093
"Corea, República de (Sur)",Won Surcoreano,0.002292
Costa Rica,Colón de Costa Rica,0.007338
Ecuador,Dólar de N.A.,3.38
Emiratos Árabes Unidos,Dirham,0.920252
Federación Rusa (Rusia),Rublo,0.043825
Filipinas,Peso de Filipinas,0.056598
Georgia,Lari Georgiano,1.267247
Guatemala,Quetzal,0.442118
Hong Kong,Dólar de Hong Kong,0.431464
India,Rupia de la India,0.036477
Indonesia,Rupia de Indonesia,0.000199
Japón,Yen Japonés,0.021287
Malasia,Dólar Malasio o Ringgit,0.849353
México,Peso Mexicano,0.194864
Namibia,Dólar Namibio,0.206941
Nigeria,Naira Nigeriana,0.002481
Noruega,Corona Noruega,0.35637
Panamá,Balboa,3.38
Paraguay,Guaraní,0.000524
Polonia,Zloty Polaco,0.933262
Reino Unido,Libra Esterlina,4.546678
República Dominicana,Peso de República Dominicana,0.056426
Singapur,Dólar de Singapur,2.65786
Suecia,Corona Sueca,0.365138
Suiza,Franco Suizo,4.284988
Tailandia,Baht,0.105845
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.106257
Turquía,Lira,0.075864
Unión,Europea Euro,3.959237
Uruguay,Peso Uruguayo,0.083976
Vietnam,Dong,0.000128
