fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-06-30,30/06/2026,oferta_demanda,Dólar de N.A.,,3.403,3.415,,,
2026-06-30,30/06/2026,oferta_demanda,Libra Esterlina,,4.525,4.683,,,
2026-06-30,30/06/2026,oferta_demanda,Yen Japonés,,0.021,0.022,,,
2026-06-30,30/06/2026,oferta_demanda,Peso Mexicano,,,0.195,,,
2026-06-30,30/06/2026,oferta_demanda,Franco Suizo,,,4.307,,,
2026-06-30,30/06/2026,oferta_demanda,Euro,,3.635,3.927,,,
2026-06-30,30/06/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-06-30,30/06/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-06-30,30/06/2026,mercado_profesional,Dólar de N.A.,,,,3.4107,,
