fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-08-31,31/08/2026,oferta_demanda,Dólar de N.A.,,3.357,3.367,,,
2026-08-31,31/08/2026,oferta_demanda,Dólar Canadiense,,,2.46,,,
2026-08-31,31/08/2026,oferta_demanda,Libra Esterlina,,4.49,4.722,,,
2026-08-31,31/08/2026,oferta_demanda,Peso Mexicano,,0.197,0.198,,,
2026-08-31,31/08/2026,oferta_demanda,Franco Suizo,,3.85,4.297,,,
2026-08-31,31/08/2026,oferta_demanda,Euro,,3.874,3.882,,,
2026-08-31,31/08/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-08-31,31/08/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-08-31,31/08/2026,mercado_profesional,Dólar de N.A.,,,,3.3647,,
