pais,moneda,tc
Argentina,Peso Argentino,0.002469
Australia,Dólar Australiano,2.440305
"Bolivia, Estado Plurinacional de",Boliviano,0.502004
Brasil,Real,0.660098
Bulgaria,Lev,2.028984
Canadá,Dólar Canadiense,2.527521
Chile,Peso Chileno,0.003764
China,Yuan,0.500647
China,Yuan Chino Off-Shore,0.500627
Colombia,Peso Colombiano,0.000933
"Corea, República de (Sur)",Won Surcoreano,0.002314
Costa Rica,Colón de Costa Rica,0.007343
Ecuador,Dólar de N.A.,3.444
Emiratos Árabes Unidos,Dirham,0.937677
Estados Unidos de América,Dólar de N.A.,3.444
Federación Rusa (Rusia),Rublo,0.043553
Filipinas,Peso de Filipinas,0.058
Georgia,Lari Georgiano,1.275554
Guatemala,Quetzal,0.449549
Hong Kong,Dólar de Hong Kong,0.440005
India,Rupia de la India,0.037357
Indonesia,Rupia de Indonesia,0.000203
Japón,Yen Japonés,0.021618
Malasia,Dólar Malasio o Ringgit,0.877676
México,Peso Mexicano,0.193336
Namibia,Dólar Namibio,0.205331
Nigeria,Naira Nigeriana,0.00249
Noruega,Corona Noruega,0.354966
Panamá,Balboa,3.444
Paraguay,Guaraní,0.000534
Polonia,Zloty Polaco,0.929053
Reino Unido,Libra Esterlina,4.599972
República Dominicana,Peso de República Dominicana,0.056595
Singapur,Dólar de Singapur,2.694413
Suecia,Corona Sueca,0.368673
Suiza,Franco Suizo,4.390618
Tailandia,Baht,0.107174
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.108317
Turquía,Lira,0.078075
Unión,Europea Euro,3.968197
Uruguay,Peso Uruguayo,0.085311
Vietnam,Dong,0.000131
