pais,moneda,tc
Argentina,Peso Argentino,0.002457
Australia,Dólar Australiano,2.421849
"Bolivia, Estado Plurinacional de",Boliviano,0.500468
Brasil,Real,0.65278
Bulgaria,Lev,2.017045
Canadá,Dólar Canadiense,2.509139
Chile,Peso Chileno,0.003768
China,Yuan,0.497918
China,Yuan Chino Off-Shore,0.497788
Colombia,Peso Colombiano,0.00093
"Corea, República de (Sur)",Won Surcoreano,0.002299
Costa Rica,Colón de Costa Rica,0.007355
Ecuador,Dólar de N.A.,3.432
Emiratos Árabes Unidos,Dirham,0.934386
Estados Unidos de América,Dólar de N.A.,3.432
Federación Rusa (Rusia),Rublo,0.042402
Filipinas,Peso de Filipinas,0.057314
Georgia,Lari Georgiano,1.27111
Guatemala,Quetzal,0.448157
Hong Kong,Dólar de Hong Kong,0.43829
India,Rupia de la India,0.037134
Indonesia,Rupia de Indonesia,0.000202
Japón,Yen Japonés,0.02155
Malasia,Dólar Malasio o Ringgit,0.874172
México,Peso Mexicano,0.193575
Namibia,Dólar Namibio,0.2051
Nigeria,Naira Nigeriana,0.002523
Noruega,Corona Noruega,0.354405
Panamá,Balboa,3.432
Paraguay,Guaraní,0.000532
Polonia,Zloty Polaco,0.9235
Reino Unido,Libra Esterlina,4.566259
República Dominicana,Peso de República Dominicana,0.05647
Singapur,Dólar de Singapur,2.683975
Suecia,Corona Sueca,0.366908
Suiza,Franco Suizo,4.354226
Tailandia,Baht,0.105984
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.107133
Turquía,Lira,0.077697
Unión,Europea Euro,3.944827
Uruguay,Peso Uruguayo,0.084901
Vietnam,Dong,0.00013
