pais,moneda,tc
Argentina,Peso Argentino,0.002447
Australia,Dólar Australiano,2.393513
"Bolivia, Estado Plurinacional de",Boliviano,0.494788
Brasil,Real,0.666011
Bulgaria,Lev,2.025665
Canadá,Dólar Canadiense,2.451425
Chile,Peso Chileno,0.003784
China,Yuan,0.496933
China,Yuan Chino Off-Shore,0.496895
Colombia,Peso Colombiano,0.000933
"Corea, República de (Sur)",Won Surcoreano,0.002298
Costa Rica,Colón de Costa Rica,0.007348
Ecuador,Dólar de N.A.,3.394
Emiratos Árabes Unidos,Dirham,0.92404
Estados Unidos de América,Dólar de N.A.,3.394
Federación Rusa (Rusia),Rublo,0.04345
Filipinas,Peso de Filipinas,0.057131
Georgia,Lari Georgiano,1.270686
Guatemala,Quetzal,0.444115
Hong Kong,Dólar de Hong Kong,0.433339
India,Rupia de la India,0.036662
Indonesia,Rupia de Indonesia,0.0002
Japón,Yen Japonés,0.021416
Malasia,Dólar Malasio o Ringgit,0.854158
México,Peso Mexicano,0.194894
Namibia,Dólar Namibio,0.207428
Nigeria,Naira Nigeriana,0.002478
Noruega,Corona Noruega,0.35504
Panamá,Balboa,3.394
Paraguay,Guaraní,0.000526
Polonia,Zloty Polaco,0.933367
Reino Unido,Libra Esterlina,4.554483
República Dominicana,Peso de República Dominicana,0.056378
Singapur,Dólar de Singapur,2.665305
Suecia,Corona Sueca,0.365133
Suiza,Franco Suizo,4.291856
Tailandia,Baht,0.106012
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.106857
Turquía,Lira,0.076246
Unión,Europea Euro,3.962176
Uruguay,Peso Uruguayo,0.084103
Vietnam,Dong,0.000129
