pais,moneda,tc
Argentina,Peso Argentino,0.002434
Australia,Dólar Australiano,2.410722
"Bolivia, Estado Plurinacional de",Boliviano,0.496831
Brasil,Real,0.653843
Bulgaria,Lev,2.026391
Canadá,Dólar Canadiense,2.494328
Chile,Peso Chileno,0.003808
China,Yuan,0.494417
China,Yuan Chino Off-Shore,0.494523
Colombia,Peso Colombiano,0.00091
"Corea, República de (Sur)",Won Surcoreano,0.002332
Costa Rica,Colón de Costa Rica,0.00723
Ecuador,Dólar de N.A.,3.409
Emiratos Árabes Unidos,Dirham,0.928148
Estados Unidos de América,Dólar de N.A.,3.409
Federación Rusa (Rusia),Rublo,0.043932
Filipinas,Peso de Filipinas,0.058222
Georgia,Lari Georgiano,1.26026
Guatemala,Quetzal,0.44498
Hong Kong,Dólar de Hong Kong,0.436038
India,Rupia de la India,0.036998
Indonesia,Rupia de Indonesia,0.000201
Japón,Yen Japonés,0.021695
Malasia,Dólar Malasio o Ringgit,0.865337
México,Peso Mexicano,0.194003
Namibia,Dólar Namibio,0.208771
Nigeria,Naira Nigeriana,0.002465
Noruega,Corona Noruega,0.353864
Panamá,Balboa,3.409
Paraguay,Guaraní,0.000522
Polonia,Zloty Polaco,0.928656
Reino Unido,Libra Esterlina,4.5514
República Dominicana,Peso de República Dominicana,0.057295
Singapur,Dólar de Singapur,2.673307
Suecia,Corona Sueca,0.371663
Suiza,Franco Suizo,4.370512
Tailandia,Baht,0.108038
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.107557
Turquía,Lira,0.077565
Unión,Europea Euro,3.963494
Uruguay,Peso Uruguayo,0.087097
Vietnam,Dong,0.00013
