fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-06-03,03/06/2026,oferta_demanda,Dólar de N.A.,,3.415,3.422,,,
2026-06-03,03/06/2026,oferta_demanda,Dólar Canadiense,,2.133,2.701,,,
2026-06-03,03/06/2026,oferta_demanda,Libra Esterlina,,,4.625,,,
2026-06-03,03/06/2026,oferta_demanda,Yen Japonés,,0.021,0.023,,,
2026-06-03,03/06/2026,oferta_demanda,Peso Mexicano,,0.197,0.201,,,
2026-06-03,03/06/2026,oferta_demanda,Franco Suizo,,,4.338,,,
2026-06-03,03/06/2026,oferta_demanda,Euro,,3.691,4.183,,,
2026-06-03,03/06/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-06-03,03/06/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-06-03,03/06/2026,mercado_profesional,Dólar de N.A.,,,,3.4196,,
