pais,moneda,tc
Argentina,Peso Argentino,0.002466
Australia,Dólar Australiano,2.490934
"Bolivia, Estado Plurinacional de",Boliviano,0.500942
Brasil,Real,0.701717
Bulgaria,Lev,2.068051
Canadá,Dólar Canadiense,2.512991
Chile,Peso Chileno,0.003829
China,Yuan,0.505385
China,Yuan Chino Off-Shore,0.505574
Colombia,Peso Colombiano,0.000913
"Corea, República de (Sur)",Won Surcoreano,0.002335
Costa Rica,Colón de Costa Rica,0.007555
Ecuador,Dólar de N.A.,3.434
Emiratos Árabes Unidos,Dirham,0.934955
Estados Unidos de América,Dólar de N.A.,3.434
Federación Rusa (Rusia),Rublo,0.046816
Filipinas,Peso de Filipinas,0.056194
Georgia,Lari Georgiano,1.290978
Guatemala,Quetzal,0.450342
Hong Kong,Dólar de Hong Kong,0.438669
India,Rupia de la India,0.036033
Indonesia,Rupia de Indonesia,0.000196
Japón,Yen Japonés,0.021857
Malasia,Dólar Malasio o Ringgit,0.875574
México,Peso Mexicano,0.199708
Namibia,Dólar Namibio,0.208969
Nigeria,Naira Nigeriana,0.002507
Noruega,Corona Noruega,0.374042
Panamá,Balboa,3.434
Paraguay,Guaraní,0.000563
Polonia,Zloty Polaco,0.95434
Reino Unido,Libra Esterlina,4.685497
República Dominicana,Peso de República Dominicana,0.058302
Singapur,Dólar de Singapur,2.707348
Suecia,Corona Sueca,0.372719
Suiza,Franco Suizo,4.416151
Tailandia,Baht,0.106317
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.109352
Turquía,Lira,0.075699
Unión,Europea Euro,4.044758
Uruguay,Peso Uruguayo,0.086554
Vietnam,Dong,0.00013
