pais,moneda,tc
Argentina,Peso Argentino,0.002451
Australia,Dólar Australiano,2.43847
"Bolivia, Estado Plurinacional de",Boliviano,0.500073
Brasil,Real,0.681322
Bulgaria,Lev,2.035145
Canadá,Dólar Canadiense,2.49291
Chile,Peso Chileno,0.003785
China,Yuan,0.503155
China,Yuan Chino Off-Shore,0.502949
Colombia,Peso Colombiano,0.000908
"Corea, República de (Sur)",Won Surcoreano,0.002273
Costa Rica,Colón de Costa Rica,0.00761
Ecuador,Dólar de N.A.,3.428
Emiratos Árabes Unidos,Dirham,0.933321
Estados Unidos de América,Dólar de N.A.,3.428
Federación Rusa (Rusia),Rublo,0.048434
Filipinas,Peso de Filipinas,0.055537
Georgia,Lari Georgiano,1.294564
Guatemala,Quetzal,0.44987
Hong Kong,Dólar de Hong Kong,0.437653
India,Rupia de la India,0.035514
Indonesia,Rupia de Indonesia,0.000192
Japón,Yen Japonés,0.021576
Malasia,Dólar Malasio o Ringgit,0.862499
México,Peso Mexicano,0.197155
Namibia,Dólar Namibio,0.205557
Nigeria,Naira Nigeriana,0.002499
Noruega,Corona Noruega,0.369789
Panamá,Balboa,3.428
Paraguay,Guaraní,0.000559
Polonia,Zloty Polaco,0.936612
Reino Unido,Libra Esterlina,4.596406
República Dominicana,Peso de República Dominicana,0.058327
Singapur,Dólar de Singapur,2.674992
Suecia,Corona Sueca,0.364938
Suiza,Franco Suizo,4.346944
Tailandia,Baht,0.104989
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.108311
Turquía,Lira,0.075227
Unión,Europea Euro,3.980491
Uruguay,Peso Uruguayo,0.085381
Vietnam,Dong,0.00013
