pais,moneda,tc
Argentina,Peso Argentino,0.002216
Australia,Dólar Australiano,2.399254
"Bolivia, Estado Plurinacional de",Boliviano,0.283348
Brasil,Real,0.642971
Bulgaria,Lev,1.98484
Canadá,Dólar Canadiense,2.41047
Chile,Peso Chileno,0.003607
China,Yuan,0.498292
China,Yuan Chino Off-Shore,0.497936
Colombia,Peso Colombiano,0.001046
"Corea, República de (Sur)",Won Surcoreano,0.00243
Costa Rica,Colón de Costa Rica,0.007465
Ecuador,Dólar de N.A.,3.352
Emiratos Árabes Unidos,Dirham,0.912629
Estados Unidos de América,Dólar de N.A.,3.352
Federación Rusa (Rusia),Rublo,0.039262
Filipinas,Peso de Filipinas,0.05385
Georgia,Lari Georgiano,1.293259
Guatemala,Quetzal,0.439695
Hong Kong,Dólar de Hong Kong,0.427551
India,Rupia de la India,0.035142
Indonesia,Rupia de Indonesia,0.000191
Japón,Yen Japonés,0.020927
Malasia,Dólar Malasio o Ringgit,0.83321
México,Peso Mexicano,0.196645
Namibia,Dólar Namibio,0.207224
Nigeria,Naira Nigeriana,0.002507
Noruega,Corona Noruega,0.357115
Panamá,Balboa,3.352
Paraguay,Guaraní,0.000566
Polonia,Zloty Polaco,0.894129
Reino Unido,Libra Esterlina,4.535246
República Dominicana,Peso de República Dominicana,0.05748
Singapur,Dólar de Singapur,2.628608
Suecia,Corona Sueca,0.348631
Suiza,Franco Suizo,4.140317
Tailandia,Baht,0.101207
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.106047
Turquía,Lira,0.069484
Unión,Europea Euro,3.881877
Uruguay,Peso Uruguayo,0.083321
Vietnam,Dong,0.000127
