fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-09-23,23/09/2026,oferta_demanda,Dólar de N.A.,,3.38,3.385,,,
2026-09-23,23/09/2026,oferta_demanda,Dólar Canadiense,,2.165,2.408,,,
2026-09-23,23/09/2026,oferta_demanda,Libra Esterlina,,4.102,4.633,,,
2026-09-23,23/09/2026,oferta_demanda,Yen Japonés,,,0.022,,,
2026-09-23,23/09/2026,oferta_demanda,Peso Mexicano,,0.193,0.194,,,
2026-09-23,23/09/2026,oferta_demanda,Franco Suizo,,3.921,4.2,,,
2026-09-23,23/09/2026,oferta_demanda,Euro,,3.58,3.948,,,
2026-09-23,23/09/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-09-23,23/09/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-09-23,23/09/2026,mercado_profesional,Dólar de N.A.,,,,3.3864,,
