fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-09-04,04/09/2026,oferta_demanda,Dólar de N.A.,,3.36,3.369,,,
2026-09-04,04/09/2026,oferta_demanda,Dólar Canadiense,,2.421,2.648,,,
2026-09-04,04/09/2026,oferta_demanda,Libra Esterlina,,4.149,4.651,,,
2026-09-04,04/09/2026,oferta_demanda,Yen Japonés,,0.021,0.023,,,
2026-09-04,04/09/2026,oferta_demanda,Peso Mexicano,,0.199,0.208,,,
2026-09-04,04/09/2026,oferta_demanda,Franco Suizo,,,3.825,,,
2026-09-04,04/09/2026,oferta_demanda,Euro,,3.896,3.925,,,
2026-09-04,04/09/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-09-04,04/09/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-09-04,04/09/2026,mercado_profesional,Dólar de N.A.,,,,3.3651,,
