fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-06-01,01/06/2026,oferta_demanda,Dólar de N.A.,,3.41,3.424,,,
2026-06-01,01/06/2026,oferta_demanda,Dólar Canadiense,,2.372,2.518,,,
2026-06-01,01/06/2026,oferta_demanda,Libra Esterlina,,4.307,4.675,,,
2026-06-01,01/06/2026,oferta_demanda,Yen Japonés,,0.021,0.022,,,
2026-06-01,01/06/2026,oferta_demanda,Peso Mexicano,,0.196,0.198,,,
2026-06-01,01/06/2026,oferta_demanda,Franco Suizo,,,4.003,,,
2026-06-01,01/06/2026,oferta_demanda,Euro,,3.788,4.147,,,
2026-06-01,01/06/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-06-01,01/06/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-06-01,01/06/2026,mercado_profesional,Dólar de N.A.,,,,3.4159,,
