pais,moneda,tc
Argentina,Peso Argentino,0.002497
Australia,Dólar Australiano,2.443193
"Bolivia, Estado Plurinacional de",Boliviano,0.506343
Brasil,Real,0.65548
Bulgaria,Lev,2.052602
Canadá,Dólar Canadiense,2.533557
Chile,Peso Chileno,0.003733
China,Yuan,0.503189
China,Yuan Chino Off-Shore,0.502977
Colombia,Peso Colombiano,0.000938
"Corea, República de (Sur)",Won Surcoreano,0.00231
Costa Rica,Colón de Costa Rica,0.00747
Ecuador,Dólar de N.A.,3.473
Emiratos Árabes Unidos,Dirham,0.945601
Estados Unidos de América,Dólar de N.A.,3.473
Federación Rusa (Rusia),Rublo,0.041905
Filipinas,Peso de Filipinas,0.058107
Georgia,Lari Georgiano,1.288684
Guatemala,Quetzal,0.453692
Hong Kong,Dólar de Hong Kong,0.443342
India,Rupia de la India,0.03706
Indonesia,Rupia de Indonesia,0.000205
Japón,Yen Japonés,0.021814
Malasia,Dólar Malasio o Ringgit,0.883042
México,Peso Mexicano,0.193939
Namibia,Dólar Namibio,0.203778
Nigeria,Naira Nigeriana,0.002563
Noruega,Corona Noruega,0.362935
Panamá,Balboa,3.473
Paraguay,Guaraní,0.000531
Polonia,Zloty Polaco,0.938675
Reino Unido,Libra Esterlina,4.63252
República Dominicana,Peso de República Dominicana,0.058864
Singapur,Dólar de Singapur,2.710527
Suecia,Corona Sueca,0.371166
Suiza,Franco Suizo,4.405125
Tailandia,Baht,0.105788
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.108858
Turquía,Lira,0.078393
Unión,Europea Euro,4.014566
Uruguay,Peso Uruguayo,0.085373
Vietnam,Dong,0.000132
