fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-01-28,28/01/2026,oferta_demanda,Dólar de N.A.,,3.34,3.345,,,
2026-01-28,28/01/2026,oferta_demanda,Dólar Canadiense,,2.206,2.477,,,
2026-01-28,28/01/2026,oferta_demanda,Libra Esterlina,,4.347,4.685,,,
2026-01-28,28/01/2026,oferta_demanda,Yen Japonés,,0.02,0.022,,,
2026-01-28,28/01/2026,oferta_demanda,Peso Mexicano,,0.193,0.194,,,
2026-01-28,28/01/2026,oferta_demanda,Franco Suizo,,4.079,4.35,,,
2026-01-28,28/01/2026,oferta_demanda,Euro,,3.779,4.178,,,
2026-01-28,28/01/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-01-28,28/01/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,3.3432,3.341,3.346
2026-01-28,28/01/2026,mercado_profesional,Dólar de N.A.,,,,3.3414,,
