fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-07-14,14/07/2026,oferta_demanda,Dólar de N.A.,,3.389,3.397,,,
2026-07-14,14/07/2026,oferta_demanda,Dólar Canadiense,,2.277,2.423,,,
2026-07-14,14/07/2026,oferta_demanda,Libra Esterlina,,4.221,4.731,,,
2026-07-14,14/07/2026,oferta_demanda,Yen Japonés,,0.021,0.023,,,
2026-07-14,14/07/2026,oferta_demanda,Peso Mexicano,,0.194,0.195,,,
2026-07-14,14/07/2026,oferta_demanda,Franco Suizo,,3.887,4.249,,,
2026-07-14,14/07/2026,oferta_demanda,Euro,,3.671,4.029,,,
2026-07-14,14/07/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-07-14,14/07/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-07-14,14/07/2026,mercado_profesional,Dólar de N.A.,,,,3.3912,,
