pais,moneda,tc
Argentina,Peso Argentino,0.002312
Australia,Dólar Australiano,2.352211
"Bolivia, Estado Plurinacional de",Boliviano,0.497447
Brasil,Real,0.659791
Bulgaria,Lev,1.985213
Canadá,Dólar Canadiense,2.402932
Chile,Peso Chileno,0.003696
China,Yuan,0.501618
China,Yuan Chino Off-Shore,0.501226
Colombia,Peso Colombiano,0.000989
"Corea, República de (Sur)",Won Surcoreano,0.002223
Costa Rica,Colón de Costa Rica,0.00756
Ecuador,Dólar de N.A.,3.41
Emiratos Árabes Unidos,Dirham,0.92842
Federación Rusa (Rusia),Rublo,0.043508
Filipinas,Peso de Filipinas,0.055638
Georgia,Lari Georgiano,1.301525
Guatemala,Quetzal,0.447719
Hong Kong,Dólar de Hong Kong,0.43485
India,Rupia de la India,0.036126
Indonesia,Rupia de Indonesia,0.000191
Japón,Yen Japonés,0.021081
Malasia,Dólar Malasio o Ringgit,0.834557
México,Peso Mexicano,0.194851
Namibia,Dólar Namibio,0.207089
Nigeria,Naira Nigeriana,0.002472
Noruega,Corona Noruega,0.343026
Panamá,Balboa,3.41
Paraguay,Guaraní,0.000559
Polonia,Zloty Polaco,0.905447
Reino Unido,Libra Esterlina,4.50165
República Dominicana,Peso de República Dominicana,0.057564
Singapur,Dólar de Singapur,2.634627
Suecia,Corona Sueca,0.350163
Suiza,Franco Suizo,4.211435
Tailandia,Baht,0.102208
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.10703
Turquía,Lira,0.073141
Unión,Europea Euro,3.882943
Uruguay,Peso Uruguayo,0.085083
Vietnam,Dong,0.00013
