pais,moneda,tc
Argentina,Peso Argentino,0.00231
Australia,Dólar Australiano,2.360756
"Bolivia, Estado Plurinacional de",Boliviano,0.497739
Brasil,Real,0.659287
Bulgaria,Lev,1.984412
Canadá,Dólar Canadiense,2.403662
Chile,Peso Chileno,0.003709
China,Yuan,0.502052
China,Yuan Chino Off-Shore,0.501677
Colombia,Peso Colombiano,0.000993
"Corea, República de (Sur)",Won Surcoreano,0.002211
Costa Rica,Colón de Costa Rica,0.007547
Ecuador,Dólar de N.A.,3.412
Emiratos Árabes Unidos,Dirham,0.928965
Estados Unidos de América,Dólar de N.A.,3.412
Federación Rusa (Rusia),Rublo,0.04553
Filipinas,Peso de Filipinas,0.05567
Georgia,Lari Georgiano,1.300801
Guatemala,Quetzal,0.447982
Hong Kong,Dólar de Hong Kong,0.43517
India,Rupia de la India,0.036147
Indonesia,Rupia de Indonesia,0.000191
Japón,Yen Japonés,0.021086
Malasia,Dólar Malasio o Ringgit,0.828959
México,Peso Mexicano,0.194893
Namibia,Dólar Namibio,0.207231
Nigeria,Naira Nigeriana,0.002474
Noruega,Corona Noruega,0.346315
Panamá,Balboa,3.412
Paraguay,Guaraní,0.00056
Polonia,Zloty Polaco,0.906313
Reino Unido,Libra Esterlina,4.50429
República Dominicana,Peso de República Dominicana,0.057683
Singapur,Dólar de Singapur,2.632716
Suecia,Corona Sueca,0.350603
Suiza,Franco Suizo,4.212865
Tailandia,Baht,0.102309
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.107178
Turquía,Lira,0.073358
Unión,Europea Euro,3.881242
Uruguay,Peso Uruguayo,0.08514
Vietnam,Dong,0.00013
