fecha_iso,fecha_publicada,USDPEN,EURUSD,GBPUSD,CNHUSD,JPYUSD,ARSUSD,AUDUSD,BOBUSD,BRLUSD,CADUSD,CHFUSD,CLPUSD,COPUSD,HKDUSD,INRUSD,KRWUSD,MXNUSD,NOKUSD,PYGUSD,SEKUSD,SGDUSD,THBUSD,TRYUSD,UYUUSD
2026-02-13,13/02/2026,3.353,1.187507008648971,1.3653739934387115,0.14486012526096032,0.006543990456307784,0.0007148821950492095,0.7082150313152401,0.14573009245451832,0.19144586937071278,0.7351321204891141,1.302422904861318,0.0011619445272889948,0.0002728899492991351,0.12792603638532657,0.011033104682373993,0.0006931106471816284,0.058331046823739935,0.10541097524604831,0.00015389203698180733,0.11207098121085594,0.7924560095436922,0.03220608410378765,0.02287086191470325,0.025781986280942436
2026-02-16,16/02/2026,3.351,1.1849749328558639,1.3629549388242317,0.14486004177857356,0.006515070128319905,0.0007150104446433901,0.7073640704267383,0.14572993136377202,0.19149000298418384,0.7333530289465832,1.2993760071620413,0.0011578633243807819,0.00027305282005371534,0.12795911668158758,0.011031930766935243,0.0006929274843330349,0.058279021187705164,0.10529185317815577,0.00015607281408534766,0.11182214264398686,0.792016114592659,0.032137869292748436,0.022883915249179352,0.02584601611459266
2026-02-17,17/02/2026,3.346,1.1848341303048415,1.356115959354453,0.14482695756126718,0.006520920502092051,0.0007148834429169157,0.7088179916317991,0.14573012552301257,0.19145696353855352,0.7332450687387925,1.298196054991034,0.0011551105797967722,0.0002740585774058577,0.1279539748953975,0.011028989838613269,0.0006918708906156605,0.058430065750149425,0.10488105200239092,0.00015511057979677228,0.11140406455469216,0.7919539748953975,0.03198386132695756,0.022869994022713686,0.025847878063359232
2026-02-18,18/02/2026,3.349,1.1791060017915795,1.3513508510002987,0.14482711257091668,0.006461928934010152,0.0007160346372051358,0.7052188713048672,0.14573006867721708,0.1907888922066288,0.7304601373544342,1.2938280083607046,0.0011588533890713646,0.0002720214989549119,0.1279710361301881,0.011028068080023887,0.0006909525231412362,0.05810600179157957,0.10502090176171991,0.00015497163332338013,0.11081606449686472,0.7894529710361301,0.03205106001791579,0.02285309047476859,0.025833980292624664
2026-02-19,19/02/2026,3.363,1.1768861135890574,1.346076122509664,0.14482694023193576,0.006457032411537319,0.0007190008920606602,0.705517097829319,0.14573000297353556,0.19138001784121322,0.7303000297353552,1.2899898899791853,0.0011561106155218554,0.00027088908712459114,0.12797204876598275,0.011027951234017248,0.0006898602438299138,0.057966101694915256,0.10454088611358907,0.00015492120130835562,0.11026196848052335,0.7885188819506393,0.03206898602438299,0.022854891465953018,0.025834968777876895
2026-02-20,20/02/2026,3.357,1.1784119749776585,1.3493461423890376,0.14482692880548106,0.0064509979148048855,0.0007271373249925528,0.7086169198689305,0.14573011617515638,0.19312511170688115,0.7310479594876377,1.289989871909443,0.0011549002085195113,0.00027107536490914507,0.12796395591301757,0.010991063449508488,0.0006919868930592791,0.05836997319034853,0.10500893655049151,0.00015490020851951144,0.11054691689008042,0.7894530831099195,0.032160857908847186,0.022820077450104257,0.025907059874888293
2026-02-23,23/02/2026,3.357,1.17966309204647,1.3497098599940422,0.14482692880548106,0.006470956210902591,0.0007310098302055406,0.705965147453083,0.14573011617515638,0.19359994042299672,0.7303529937444146,1.291989871909443,0.0011549002085195113,0.00027107536490914507,0.12788888888888889,0.011003872505212987,0.0006928805481084301,0.05793893357164134,0.10457610962168602,0.00015490020851951144,0.11041912421805182,0.7897649687220732,0.0322791182603515,0.022815013404825737,0.026016085790884717
2026-02-24,24/02/2026,3.358,1.1777179868969625,1.3508040500297795,0.14532310899344847,0.006418999404407386,0.0007251340083382966,0.7060649195949971,0.14572989874925552,0.1941938653960691,0.7296611078022632,1.2923240023823703,0.0011620011911852293,0.0002701012507444908,0.12782995830851698,0.010994937462775462,0.0006938653960690888,0.0582078618225134,0.10459291244788564,0.00015485407980941033,0.11049404407385348,0.7893910065515187,0.03218493150684932,0.022810899344848125,0.026041989279332937
2026-02-25,25/02/2026,3.358,1.1804979154258488,1.3551971411554498,0.14572989874925552,0.006393984514592019,0.0007159023228111971,0.711946098868374,0.14572989874925552,0.195,0.7309940440738535,1.2939961286480048,0.001167957117331745,0.0002709946396664681,0.12788505062537223,0.010994937462775462,0.0007010125074449077,0.05830911256700417,0.10474806432400238,0.00015485407980941033,0.11080911256700417,0.7914520547945205,0.03223496128648005,0.022801965455628348,0.026078916021441332
2026-02-26,26/02/2026,3.356,1.1784120977353993,1.3466200834326578,0.14608998808104887,0.006395113230035757,0.0007100715137067938,0.7098238974970204,0.1457300357568534,0.19455601907032183,0.7306200834326579,1.2908221096543504,0.0011549463647199047,0.0002660905840286055,0.12783104886769966,0.011,0.0006978545887961859,0.058067938021454116,0.10455095351609059,0.00015494636471990463,0.11033402860548273,0.7905759833134683,0.032135876042908226,0.02278814064362336,0.02605512514898689
2026-02-27,27/02/2026,3.355,1.1818929955290611,1.3473460506706407,0.14575797317436662,0.006410134128166915,0.000715946348733234,0.7117940387481372,0.14572995529061103,0.19470402384500746,0.733729955290611,1.3022530551415799,0.0011460506706408346,0.00026706408345752606,0.12784292101341282,0.010991952309985098,0.0006950819672131147,0.058135022354694484,0.1051090909090909,0.00015499254843517136,0.11081192250372578,0.7908259314456035,0.03219403874813711,0.02275797317436662,0.026042921013412816
