fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-09-16,16/09/2026,oferta_demanda,Dólar de N.A.,,3.361,3.372,,,
2026-09-16,16/09/2026,oferta_demanda,Dólar Canadiense,,2.423,0.003,,,
2026-09-16,16/09/2026,oferta_demanda,Libra Esterlina,,4.48,4.688,,,
2026-09-16,16/09/2026,oferta_demanda,Yen Japonés,,,0.023,,,
2026-09-16,16/09/2026,oferta_demanda,Peso Mexicano,,0.195,0.198,,,
2026-09-16,16/09/2026,oferta_demanda,Franco Suizo,,,4.124,,,
2026-09-16,16/09/2026,oferta_demanda,Euro,,3.895,3.901,,,
2026-09-16,16/09/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-09-16,16/09/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-09-16,16/09/2026,mercado_profesional,Dólar de N.A.,,,,3.3649,,
