pais,moneda,tc
Argentina,Peso Argentino,0.002227
Australia,Dólar Australiano,2.413841
"Bolivia, Estado Plurinacional de",Boliviano,0.271255
Brasil,Real,0.660395
Bulgaria,Lev,2.001543
Canadá,Dólar Canadiense,2.437242
Chile,Peso Chileno,0.003585
China,Yuan,0.502011
China,Yuan Chino Off-Shore,0.501809
Colombia,Peso Colombiano,0.001092
"Corea, República de (Sur)",Won Surcoreano,0.002503
Costa Rica,Colón de Costa Rica,0.007543
Ecuador,Dólar de N.A.,3.369
Emiratos Árabes Unidos,Dirham,0.917257
Estados Unidos de América,Dólar de N.A.,3.369
Federación Rusa (Rusia),Rublo,0.040317
Filipinas,Peso de Filipinas,0.053877
Georgia,Lari Georgiano,1.301977
Guatemala,Quetzal,0.441703
Hong Kong,Dólar de Hong Kong,0.429642
India,Rupia de la India,0.0353
Indonesia,Rupia de Indonesia,0.000192
Japón,Yen Japonés,0.021841
Malasia,Dólar Malasio o Ringgit,0.829192
México,Peso Mexicano,0.198535
Namibia,Dólar Namibio,0.207972
Nigeria,Naira Nigeriana,0.00254
Noruega,Corona Noruega,0.363262
Panamá,Balboa,3.369
Paraguay,Guaraní,0.000569
Polonia,Zloty Polaco,0.905038
Reino Unido,Libra Esterlina,4.555164
República Dominicana,Peso de República Dominicana,0.057526
Singapur,Dólar de Singapur,2.658616
Suecia,Corona Sueca,0.348264
Suiza,Franco Suizo,4.146461
Tailandia,Baht,0.101848
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.106791
Turquía,Lira,0.069479
Unión,Europea Euro,3.914711
Uruguay,Peso Uruguayo,0.083807
Vietnam,Dong,0.000131
