fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-04-15,15/04/2026,oferta_demanda,Dólar de N.A.,,3.425,3.436,,,
2026-04-15,15/04/2026,oferta_demanda,Dólar Canadiense,,,2.575,,,
2026-04-15,15/04/2026,oferta_demanda,Libra Esterlina,,,4.852,,,
2026-04-15,15/04/2026,oferta_demanda,Yen Japonés,,,0.021,,,
2026-04-15,15/04/2026,oferta_demanda,Euro,,3.917,4.201,,,
2026-04-15,15/04/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-04-15,15/04/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-04-15,15/04/2026,mercado_profesional,Dólar de N.A.,,,,3.4396,,
