fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-03-16,16/03/2026,oferta_demanda,Dólar de N.A.,,3.425,3.439,,,
2026-03-16,16/03/2026,oferta_demanda,Dólar Canadiense,,2.498,2.525,,,
2026-03-16,16/03/2026,oferta_demanda,Libra Esterlina,,4.448,4.634,,,
2026-03-16,16/03/2026,oferta_demanda,Yen Japonés,,,0.021,,,
2026-03-16,16/03/2026,oferta_demanda,Peso Mexicano,,0.193,0.194,,,
2026-03-16,16/03/2026,oferta_demanda,Franco Suizo,,4.083,4.378,,,
2026-03-16,16/03/2026,oferta_demanda,Euro,,3.661,4.117,,,
2026-03-16,16/03/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-03-16,16/03/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-03-16,16/03/2026,mercado_profesional,Dólar de N.A.,,,,3.4258,,
