pais,moneda,tc
Argentina,Peso Argentino,0.002475
Australia,Dólar Australiano,2.519769
"Bolivia, Estado Plurinacional de",Boliviano,0.510934
Brasil,Real,0.705034
Bulgaria,Lev,2.100943
Canadá,Dólar Canadiense,2.57342
Chile,Peso Chileno,0.003922
China,Yuan,0.513493
China,Yuan Chino Off-Shore,0.513395
Colombia,Peso Colombiano,0.000964
"Corea, República de (Sur)",Won Surcoreano,0.002376
Costa Rica,Colón de Costa Rica,0.007753
Ecuador,Dólar de N.A.,3.505
Emiratos Árabes Unidos,Dirham,0.954261
Estados Unidos de América,Dólar de N.A.,3.505
Federación Rusa (Rusia),Rublo,0.047034
Filipinas,Peso de Filipinas,0.057734
Georgia,Lari Georgiano,1.312735
Guatemala,Quetzal,0.458987
Hong Kong,Dólar de Hong Kong,0.447231
India,Rupia de la India,0.037213
Indonesia,Rupia de Indonesia,0.000203
Japón,Yen Japonés,0.02199
Malasia,Dólar Malasio o Ringgit,0.887231
México,Peso Mexicano,0.201632
Namibia,Dólar Namibio,0.211779
Nigeria,Naira Nigeriana,0.002559
Noruega,Corona Noruega,0.377247
Panamá,Balboa,3.505
Paraguay,Guaraní,0.000561
Polonia,Zloty Polaco,0.967271
Reino Unido,Libra Esterlina,4.745465
República Dominicana,Peso de República Dominicana,0.059277
Singapur,Dólar de Singapur,2.750531
Suecia,Corona Sueca,0.380163
Suiza,Franco Suizo,4.462124
Tailandia,Baht,0.108259
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.111448
Turquía,Lira,0.07786
Unión,Europea Euro,4.109027
Uruguay,Peso Uruguayo,0.088252
Vietnam,Dong,0.000133
