pais,moneda,tc
Argentina,Peso Argentino,0.002377
Australia,Dólar Australiano,2.438068
"Bolivia, Estado Plurinacional de",Boliviano,0.498177
Brasil,Real,0.674394
Bulgaria,Lev,2.029114
Canadá,Dólar Canadiense,2.456659
Chile,Peso Chileno,0.003811
China,Yuan,0.504194
China,Yuan Chino Off-Shore,0.503986
Colombia,Peso Colombiano,0.00096
"Corea, República de (Sur)",Won Surcoreano,0.00223
Costa Rica,Colón de Costa Rica,0.007475
Ecuador,Dólar de N.A.,3.415
Emiratos Árabes Unidos,Dirham,0.929758
Estados Unidos de América,Dólar de N.A.,3.415
Federación Rusa (Rusia),Rublo,0.046765
Filipinas,Peso de Filipinas,0.055443
Georgia,Lari Georgiano,1.293561
Guatemala,Quetzal,0.448164
Hong Kong,Dólar de Hong Kong,0.43585
India,Rupia de la India,0.035653
Indonesia,Rupia de Indonesia,0.000188
Japón,Yen Japonés,0.021344
Malasia,Dólar Malasio o Ringgit,0.851728
México,Peso Mexicano,0.197595
Namibia,Dólar Namibio,0.209507
Nigeria,Naira Nigeriana,0.00251
Noruega,Corona Noruega,0.365675
Panamá,Balboa,3.415
Paraguay,Guaraní,0.00056
Polonia,Zloty Polaco,0.936823
Reino Unido,Libra Esterlina,4.585122
República Dominicana,Peso de República Dominicana,0.058827
Singapur,Dólar de Singapur,2.659243
Suecia,Corona Sueca,0.36464
Suiza,Franco Suizo,4.328813
Tailandia,Baht,0.104591
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.108542
Turquía,Lira,0.074293
Unión,Europea Euro,3.968623
Uruguay,Peso Uruguayo,0.084962
Vietnam,Dong,0.00013
