fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-09-01,01/09/2026,oferta_demanda,Dólar de N.A.,,3.36,3.368,,,
2026-09-01,01/09/2026,oferta_demanda,Dólar Canadiense,,2.241,2.532,,,
2026-09-01,01/09/2026,oferta_demanda,Libra Esterlina,,4.438,4.586,,,
2026-09-01,01/09/2026,oferta_demanda,Yen Japonés,,,0.022,,,
2026-09-01,01/09/2026,oferta_demanda,Peso Mexicano,,0.198,0.199,,,
2026-09-01,01/09/2026,oferta_demanda,Franco Suizo,,3.855,4.159,,,
2026-09-01,01/09/2026,oferta_demanda,Euro,,3.819,3.924,,,
2026-09-01,01/09/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-09-01,01/09/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-09-01,01/09/2026,mercado_profesional,Dólar de N.A.,,,,3.3635,,
