fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-07-17,17/07/2026,oferta_demanda,Dólar de N.A.,,3.402,3.408,,,
2026-07-17,17/07/2026,oferta_demanda,Dólar Canadiense,,2.283,2.529,,,
2026-07-17,17/07/2026,oferta_demanda,Libra Esterlina,,4.306,4.728,,,
2026-07-17,17/07/2026,oferta_demanda,Yen Japonés,,0.02,0.021,,,
2026-07-17,17/07/2026,oferta_demanda,Peso Mexicano,,0.194,0.195,,,
2026-07-17,17/07/2026,oferta_demanda,Franco Suizo,,3.995,4.236,,,
2026-07-17,17/07/2026,oferta_demanda,Euro,,3.77,3.964,,,
2026-07-17,17/07/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-07-17,17/07/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-07-17,17/07/2026,mercado_profesional,Dólar de N.A.,,,,3.4065,,
