pais,moneda,tc
Argentina,Peso Argentino,0.002239
Australia,Dólar Australiano,2.386561
"Bolivia, Estado Plurinacional de",Boliviano,0.277569
Brasil,Real,0.65489
Bulgaria,Lev,1.977912
Canadá,Dólar Canadiense,2.406479
Chile,Peso Chileno,0.003536
China,Yuan,0.507071
China,Yuan Chino Off-Shore,0.506669
Colombia,Peso Colombiano,0.001017
"Corea, República de (Sur)",Won Surcoreano,0.002488
Costa Rica,Colón de Costa Rica,0.007561
Ecuador,Dólar de N.A.,3.403
Emiratos Árabes Unidos,Dirham,0.926542
Estados Unidos de América,Dólar de N.A.,3.403
Federación Rusa (Rusia),Rublo,0.040213
Filipinas,Peso de Filipinas,0.054251
Georgia,Lari Georgiano,1.314409
Guatemala,Quetzal,0.445912
Hong Kong,Dólar de Hong Kong,0.433906
India,Rupia de la India,0.035463
Indonesia,Rupia de Indonesia,0.000191
Japón,Yen Japonés,0.021415
Malasia,Dólar Malasio o Ringgit,0.833252
México,Peso Mexicano,0.192205
Namibia,Dólar Namibio,0.206926
Nigeria,Naira Nigeriana,0.002562
Noruega,Corona Noruega,0.35773
Panamá,Balboa,3.403
Paraguay,Guaraní,0.000579
Polonia,Zloty Polaco,0.883072
Reino Unido,Libra Esterlina,4.495969
República Dominicana,Peso de República Dominicana,0.057572
Singapur,Dólar de Singapur,2.658386
Suecia,Corona Sueca,0.342662
Suiza,Franco Suizo,4.108415
Tailandia,Baht,0.101641
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.106932
Turquía,Lira,0.069659
Unión,Europea Euro,3.868364
Uruguay,Peso Uruguayo,0.084759
Vietnam,Dong,0.000129
