pais,moneda,tc
Argentina,Peso Argentino,0.002479
Australia,Dólar Australiano,2.415637
"Bolivia, Estado Plurinacional de",Boliviano,0.493621
Brasil,Real,0.678829
Bulgaria,Lev,2.042344
Canadá,Dólar Canadiense,2.4604
Chile,Peso Chileno,0.003819
China,Yuan,0.496801
China,Yuan Chino Off-Shore,0.497275
Colombia,Peso Colombiano,0.000945
"Corea, República de (Sur)",Won Surcoreano,0.002299
Costa Rica,Colón de Costa Rica,0.007409
Ecuador,Dólar de N.A.,3.386
Emiratos Árabes Unidos,Dirham,0.921862
Estados Unidos de América,Dólar de N.A.,3.386
Federación Rusa (Rusia),Rublo,0.044946
Filipinas,Peso de Filipinas,0.05657
Georgia,Lari Georgiano,1.269591
Guatemala,Quetzal,0.443136
Hong Kong,Dólar de Hong Kong,0.432267
India,Rupia de la India,0.036264
Indonesia,Rupia de Indonesia,0.000196
Japón,Yen Japonés,0.021335
Malasia,Dólar Malasio o Ringgit,0.857217
México,Peso Mexicano,0.196083
Namibia,Dólar Namibio,0.207277
Nigeria,Naira Nigeriana,0.002512
Noruega,Corona Noruega,0.358544
Panamá,Balboa,3.386
Paraguay,Guaraní,0.000532
Polonia,Zloty Polaco,0.942649
Reino Unido,Libra Esterlina,4.595547
República Dominicana,Peso de República Dominicana,0.056932
Singapur,Dólar de Singapur,2.664464
Suecia,Corona Sueca,0.368942
Suiza,Franco Suizo,4.337134
Tailandia,Baht,0.105938
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.107055
Turquía,Lira,0.075721
Unión,Europea Euro,3.994339
Uruguay,Peso Uruguayo,0.084894
Vietnam,Dong,0.000129
