pais,moneda,tc
Argentina,Peso Argentino,0.002296
Australia,Dólar Australiano,2.378156
"Bolivia, Estado Plurinacional de",Boliviano,0.309182
Brasil,Real,0.672347
Bulgaria,Lev,1.984018
Canadá,Dólar Canadiense,2.413254
Chile,Peso Chileno,0.003629
China,Yuan,0.502202
China,Yuan Chino Off-Shore,0.501971
Colombia,Peso Colombiano,0.001061
"Corea, República de (Sur)",Won Surcoreano,0.002302
Costa Rica,Colón de Costa Rica,0.007533
Ecuador,Dólar de N.A.,3.401
Emiratos Árabes Unidos,Dirham,0.92597
Estados Unidos de América,Dólar de N.A.,3.401
Federación Rusa (Rusia),Rublo,0.043835
Filipinas,Peso de Filipinas,0.055089
Georgia,Lari Georgiano,1.304964
Guatemala,Quetzal,0.446327
Hong Kong,Dólar de Hong Kong,0.433736
India,Rupia de la India,0.035217
Indonesia,Rupia de Indonesia,0.00019
Japón,Yen Japonés,0.020845
Malasia,Dólar Malasio o Ringgit,0.832558
México,Peso Mexicano,0.195364
Namibia,Dólar Namibio,0.207349
Nigeria,Naira Nigeriana,0.002483
Noruega,Corona Noruega,0.354163
Panamá,Balboa,3.401
Paraguay,Guaraní,0.000561
Polonia,Zloty Polaco,0.89632
Reino Unido,Libra Esterlina,4.548008
República Dominicana,Peso de República Dominicana,0.058473
Singapur,Dólar de Singapur,2.633779
Suecia,Corona Sueca,0.350551
Suiza,Franco Suizo,4.175054
Tailandia,Baht,0.100707
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.104985
Turquía,Lira,0.072057
Unión,Europea Euro,3.880646
Uruguay,Peso Uruguayo,0.084814
Vietnam,Dong,0.000129
