pais,moneda,tc
Argentina,Peso Argentino,0.002402
Australia,Dólar Australiano,2.388069
"Bolivia, Estado Plurinacional de",Boliviano,0.488924
Brasil,Real,0.653232
Bulgaria,Lev,2.027437
Canadá,Dólar Canadiense,2.461664
Chile,Peso Chileno,0.003845
China,Yuan,0.489018
China,Yuan Chino Off-Shore,0.489115
Colombia,Peso Colombiano,0.000896
"Corea, República de (Sur)",Won Surcoreano,0.002332
Costa Rica,Colón de Costa Rica,0.00715
Ecuador,Dólar de N.A.,3.355
Emiratos Árabes Unidos,Dirham,0.913523
Estados Unidos de América,Dólar de N.A.,3.355
Federación Rusa (Rusia),Rublo,0.043756
Filipinas,Peso de Filipinas,0.058203
Georgia,Lari Georgiano,1.265513
Guatemala,Quetzal,0.437932
Hong Kong,Dólar de Hong Kong,0.428913
India,Rupia de la India,0.036878
Indonesia,Rupia de Indonesia,0.000201
Japón,Yen Japonés,0.021506
Malasia,Dólar Malasio o Ringgit,0.862245
México,Peso Mexicano,0.195043
Namibia,Dólar Namibio,0.21107
Nigeria,Naira Nigeriana,0.002463
Noruega,Corona Noruega,0.352641
Panamá,Balboa,3.355
Paraguay,Guaraní,0.00052
Polonia,Zloty Polaco,0.939145
Reino Unido,Libra Esterlina,4.520346
República Dominicana,Peso de República Dominicana,0.056364
Singapur,Dólar de Singapur,2.653221
Suecia,Corona Sueca,0.371774
Suiza,Franco Suizo,4.369059
Tailandia,Baht,0.108011
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.107142
Turquía,Lira,0.076353
Unión,Europea Euro,3.965251
Uruguay,Peso Uruguayo,0.087374
Vietnam,Dong,0.000127
