fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-08-14,14/08/2026,oferta_demanda,Dólar de N.A.,,3.358,3.368,,,
2026-08-14,14/08/2026,oferta_demanda,Dólar Canadiense,,2.317,2.533,,,
2026-08-14,14/08/2026,oferta_demanda,Libra Esterlina,,4.252,4.619,,,
2026-08-14,14/08/2026,oferta_demanda,Yen Japonés,,0.021,0.026,,,
2026-08-14,14/08/2026,oferta_demanda,Peso Mexicano,,0.197,0.198,,,
2026-08-14,14/08/2026,oferta_demanda,Franco Suizo,,3.794,4.487,,,
2026-08-14,14/08/2026,oferta_demanda,Euro,,3.746,4.027,,,
2026-08-14,14/08/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-08-14,14/08/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-08-14,14/08/2026,mercado_profesional,Dólar de N.A.,,,,3.3635,,
