fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-02-02,02/02/2026,oferta_demanda,Dólar de N.A.,,3.358,3.369,,,
2026-02-02,02/02/2026,oferta_demanda,Dólar Canadiense,,2.329,2.46,,,
2026-02-02,02/02/2026,oferta_demanda,Libra Esterlina,,4.596,4.816,,,
2026-02-02,02/02/2026,oferta_demanda,Yen Japonés,,0.021,0.025,,,
2026-02-02,02/02/2026,oferta_demanda,Peso Mexicano,,0.192,0.197,,,
2026-02-02,02/02/2026,oferta_demanda,Franco Suizo,,,4.0,,,
2026-02-02,02/02/2026,oferta_demanda,Euro,,3.704,4.169,,,
2026-02-02,02/02/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-02-02,02/02/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-02-02,02/02/2026,mercado_profesional,Dólar de N.A.,,,,3.3652,,
