pais,moneda,tc
Argentina,Peso Argentino,0.002525
Australia,Dólar Australiano,2.458263
"Bolivia, Estado Plurinacional de",Boliviano,0.500147
Brasil,Real,0.686694
Bulgaria,Lev,2.069113
Canadá,Dólar Canadiense,2.498362
Chile,Peso Chileno,0.003874
China,Yuan,0.503249
China,Yuan Chino Off-Shore,0.50319
Colombia,Peso Colombiano,0.00095
"Corea, República de (Sur)",Won Surcoreano,0.002326
Costa Rica,Colón de Costa Rica,0.00751
Ecuador,Dólar de N.A.,3.431
Emiratos Árabes Unidos,Dirham,0.934114
Estados Unidos de América,Dólar de N.A.,3.431
Federación Rusa (Rusia),Rublo,0.045684
Filipinas,Peso de Filipinas,0.057106
Georgia,Lari Georgiano,1.285019
Guatemala,Quetzal,0.448789
Hong Kong,Dólar de Hong Kong,0.437995
India,Rupia de la India,0.036746
Indonesia,Rupia de Indonesia,0.000199
Japón,Yen Japonés,0.021564
Malasia,Dólar Malasio o Ringgit,0.867511
México,Peso Mexicano,0.198754
Namibia,Dólar Namibio,0.209538
Nigeria,Naira Nigeriana,0.002556
Noruega,Corona Noruega,0.365261
Panamá,Balboa,3.431
Paraguay,Guaraní,0.000539
Polonia,Zloty Polaco,0.955712
Reino Unido,Libra Esterlina,4.655359
República Dominicana,Peso de República Dominicana,0.057459
Singapur,Dólar de Singapur,2.698389
Suecia,Corona Sueca,0.374291
Suiza,Franco Suizo,4.386907
Tailandia,Baht,0.107102
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.108468
Turquía,Lira,0.076676
Unión,Europea Euro,4.046943
Uruguay,Peso Uruguayo,0.086413
Vietnam,Dong,0.00013
