fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-07-15,15/07/2026,oferta_demanda,Dólar de N.A.,,3.381,3.391,,,
2026-07-15,15/07/2026,oferta_demanda,Dólar Canadiense,,2.24,2.418,,,
2026-07-15,15/07/2026,oferta_demanda,Libra Esterlina,,4.234,4.622,,,
2026-07-15,15/07/2026,oferta_demanda,Yen Japonés,,,0.022,,,
2026-07-15,15/07/2026,oferta_demanda,Peso Mexicano,,,0.196,,,
2026-07-15,15/07/2026,oferta_demanda,Franco Suizo,,3.831,4.3,,,
2026-07-15,15/07/2026,oferta_demanda,Euro,,3.706,4.008,,,
2026-07-15,15/07/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-07-15,15/07/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,3.3844,3.38,3.385
2026-07-15,15/07/2026,mercado_profesional,Dólar de N.A.,,,,3.3851,,
