fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-08-24,24/08/2026,oferta_demanda,Dólar de N.A.,,3.342,3.356,,,
2026-08-24,24/08/2026,oferta_demanda,Dólar Canadiense,,2.541,0.003,,,
2026-08-24,24/08/2026,oferta_demanda,Libra Esterlina,,4.202,4.717,,,
2026-08-24,24/08/2026,oferta_demanda,Yen Japonés,,,0.021,,,
2026-08-24,24/08/2026,oferta_demanda,Peso Mexicano,,,0.198,,,
2026-08-24,24/08/2026,oferta_demanda,Franco Suizo,,3.855,4.412,,,
2026-08-24,24/08/2026,oferta_demanda,Euro,,3.86,3.939,,,
2026-08-24,24/08/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-08-24,24/08/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-08-24,24/08/2026,mercado_profesional,Dólar de N.A.,,,,3.3464,,
