pais,moneda,tc
Argentina,Peso Argentino,0.002367
Australia,Dólar Australiano,2.393119
"Bolivia, Estado Plurinacional de",Boliviano,0.49323
Brasil,Real,0.668248
Bulgaria,Lev,2.00522
Canadá,Dólar Canadiense,2.418108
Chile,Peso Chileno,0.003797
China,Yuan,0.500408
China,Yuan Chino Off-Shore,0.500192
Colombia,Peso Colombiano,0.000984
"Corea, República de (Sur)",Won Surcoreano,0.002231
Costa Rica,Colón de Costa Rica,0.007448
Ecuador,Dólar de N.A.,3.381
Emiratos Árabes Unidos,Dirham,0.920552
Estados Unidos de América,Dólar de N.A.,3.381
Federación Rusa (Rusia),Rublo,0.046884
Filipinas,Peso de Filipinas,0.055932
Georgia,Lari Georgiano,1.284817
Guatemala,Quetzal,0.443935
Hong Kong,Dólar de Hong Kong,0.431547
India,Rupia de la India,0.0357
Indonesia,Rupia de Indonesia,0.000189
Japón,Yen Japonés,0.021094
Malasia,Dólar Malasio o Ringgit,0.835124
México,Peso Mexicano,0.196554
Namibia,Dólar Namibio,0.208784
Nigeria,Naira Nigeriana,0.002492
Noruega,Corona Noruega,0.354735
Panamá,Balboa,3.381
Paraguay,Guaraní,0.000554
Polonia,Zloty Polaco,0.922814
Reino Unido,Libra Esterlina,4.540085
República Dominicana,Peso de República Dominicana,0.05769
Singapur,Dólar de Singapur,2.636051
Suecia,Corona Sueca,0.360472
Suiza,Franco Suizo,4.259259
Tailandia,Baht,0.103881
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.107184
Turquía,Lira,0.073057
Unión,Europea Euro,3.921818
Uruguay,Peso Uruguayo,0.083964
Vietnam,Dong,0.000128
