pais,moneda,tc
Argentina,Peso Argentino,0.002454
Australia,Dólar Australiano,2.446048
"Bolivia, Estado Plurinacional de",Boliviano,0.499125
Brasil,Real,0.662693
Bulgaria,Lev,2.025204
Canadá,Dólar Canadiense,2.519876
Chile,Peso Chileno,0.00381
China,Yuan,0.498129
China,Yuan Chino Off-Shore,0.497783
Colombia,Peso Colombiano,0.000924
"Corea, República de (Sur)",Won Surcoreano,0.002317
Costa Rica,Colón de Costa Rica,0.007298
Ecuador,Dólar de N.A.,3.423
Emiratos Árabes Unidos,Dirham,0.93196
Estados Unidos de América,Dólar de N.A.,3.423
Federación Rusa (Rusia),Rublo,0.043602
Filipinas,Peso de Filipinas,0.057893
Georgia,Lari Georgiano,1.26665
Guatemala,Quetzal,0.447064
Hong Kong,Dólar de Hong Kong,0.437415
India,Rupia de la India,0.037191
Indonesia,Rupia de Indonesia,0.000202
Japón,Yen Japonés,0.021551
Malasia,Dólar Malasio o Ringgit,0.873772
México,Peso Mexicano,0.193478
Namibia,Dólar Namibio,0.20756
Nigeria,Naira Nigeriana,0.002482
Noruega,Corona Noruega,0.354671
Panamá,Balboa,3.423
Paraguay,Guaraní,0.000531
Polonia,Zloty Polaco,0.931682
Reino Unido,Libra Esterlina,4.590318
República Dominicana,Peso de República Dominicana,0.056281
Singapur,Dólar de Singapur,2.686603
Suecia,Corona Sueca,0.371036
Suiza,Franco Suizo,4.391278
Tailandia,Baht,0.107523
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.107766
Turquía,Lira,0.077658
Unión,Europea Euro,3.96089
Uruguay,Peso Uruguayo,0.085435
Vietnam,Dong,0.00013
