pais,moneda,tc
Argentina,Peso Argentino,0.002229
Australia,Dólar Australiano,2.409172
"Bolivia, Estado Plurinacional de",Boliviano,0.282048
Brasil,Real,0.648422
Bulgaria,Lev,1.996675
Canadá,Dólar Canadiense,2.426036
Chile,Peso Chileno,0.003597
China,Yuan,0.500625
China,Yuan Chino Off-Shore,0.500424
Colombia,Peso Colombiano,0.001042
"Corea, República de (Sur)",Won Surcoreano,0.002458
Costa Rica,Colón de Costa Rica,0.007514
Ecuador,Dólar de N.A.,3.362
Emiratos Árabes Unidos,Dirham,0.915352
Estados Unidos de América,Dólar de N.A.,3.362
Federación Rusa (Rusia),Rublo,0.039413
Filipinas,Peso de Filipinas,0.053896
Georgia,Lari Georgiano,1.298068
Guatemala,Quetzal,0.441084
Hong Kong,Dólar de Hong Kong,0.428904
India,Rupia de la India,0.035328
Indonesia,Rupia de Indonesia,0.000188
Japón,Yen Japonés,0.021053
Malasia,Dólar Malasio o Ringgit,0.835487
México,Peso Mexicano,0.197827
Namibia,Dólar Namibio,0.208703
Nigeria,Naira Nigeriana,0.002518
Noruega,Corona Noruega,0.359805
Panamá,Balboa,3.362
Paraguay,Guaraní,0.000568
Polonia,Zloty Polaco,0.902307
Reino Unido,Libra Esterlina,4.555557
República Dominicana,Peso de República Dominicana,0.057534
Singapur,Dólar de Singapur,2.644744
Suecia,Corona Sueca,0.351228
Suiza,Franco Suizo,4.160892
Tailandia,Baht,0.101391
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.106172
Turquía,Lira,0.069671
Unión,Europea Euro,3.905215
Uruguay,Peso Uruguayo,0.08361
Vietnam,Dong,0.000128
