pais,moneda,tc
Argentina,Peso Argentino,0.002275
Australia,Dólar Australiano,2.378958
"Bolivia, Estado Plurinacional de",Boliviano,0.303746
Brasil,Real,0.671585
Bulgaria,Lev,1.979422
Canadá,Dólar Canadiense,2.415408
Chile,Peso Chileno,0.003596
China,Yuan,0.502939
China,Yuan Chino Off-Shore,0.502864
Colombia,Peso Colombiano,0.001059
"Corea, República de (Sur)",Won Surcoreano,0.002332
Costa Rica,Colón de Costa Rica,0.007559
Ecuador,Dólar de N.A.,3.405
Emiratos Árabes Unidos,Dirham,0.927059
Estados Unidos de América,Dólar de N.A.,3.405
Federación Rusa (Rusia),Rublo,0.043979
Filipinas,Peso de Filipinas,0.055079
Georgia,Lari Georgiano,1.307905
Guatemala,Quetzal,0.446848
Hong Kong,Dólar de Hong Kong,0.434189
India,Rupia de la India,0.035262
Indonesia,Rupia de Indonesia,0.000191
Japón,Yen Japonés,0.020788
Malasia,Dólar Malasio o Ringgit,0.832822
México,Peso Mexicano,0.194892
Namibia,Dólar Namibio,0.202533
Nigeria,Naira Nigeriana,0.002492
Noruega,Corona Noruega,0.35538
Panamá,Balboa,3.405
Paraguay,Guaraní,0.000565
Polonia,Zloty Polaco,0.897139
Reino Unido,Libra Esterlina,4.537581
República Dominicana,Peso de República Dominicana,0.058808
Singapur,Dólar de Singapur,2.638511
Suecia,Corona Sueca,0.350497
Suiza,Franco Suizo,4.161574
Tailandia,Baht,0.101118
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.105235
Turquía,Lira,0.071924
Unión,Europea Euro,3.871519
Uruguay,Peso Uruguayo,0.084914
Vietnam,Dong,0.000129
