fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-05-07,07/05/2026,oferta_demanda,Dólar de N.A.,,3.456,3.461,,,
2026-05-07,07/05/2026,oferta_demanda,Dólar Canadiense,,2.528,2.546,,,
2026-05-07,07/05/2026,oferta_demanda,Libra Esterlina,,4.729,5.204,,,
2026-05-07,07/05/2026,oferta_demanda,Yen Japonés,,0.022,0.024,,,
2026-05-07,07/05/2026,oferta_demanda,Peso Mexicano,,0.2,0.201,,,
2026-05-07,07/05/2026,oferta_demanda,Franco Suizo,,,4.521,,,
2026-05-07,07/05/2026,oferta_demanda,Euro,,4.071,4.163,,,
2026-05-07,07/05/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-05-07,07/05/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-05-07,07/05/2026,mercado_profesional,Dólar de N.A.,,,,3.4578,,
