pais,moneda,tc
Argentina,Peso Argentino,0.00222
Australia,Dólar Australiano,2.392421
"Bolivia, Estado Plurinacional de",Boliviano,0.335464
Brasil,Real,0.652332
Bulgaria,Lev,1.971119
Canadá,Dólar Canadiense,2.3996
Chile,Peso Chileno,0.003502
China,Yuan,0.501712
China,Yuan Chino Off-Shore,0.501501
Colombia,Peso Colombiano,0.001058
"Corea, República de (Sur)",Won Surcoreano,0.002424
Costa Rica,Colón de Costa Rica,0.007552
Ecuador,Dólar de N.A.,3.358
Emiratos Árabes Unidos,Dirham,0.914263
Estados Unidos de América,Dólar de N.A.,3.358
Federación Rusa (Rusia),Rublo,0.039994
Filipinas,Peso de Filipinas,0.053513
Georgia,Lari Georgiano,1.302054
Guatemala,Quetzal,0.440298
Hong Kong,Dólar de Hong Kong,0.428011
India,Rupia de la India,0.035027
Indonesia,Rupia de Indonesia,0.000188
Japón,Yen Japonés,0.021431
Malasia,Dólar Malasio o Ringgit,0.82314
México,Peso Mexicano,0.194808
Namibia,Dólar Namibio,0.206527
Nigeria,Naira Nigeriana,0.002525
Noruega,Corona Noruega,0.356828
Panamá,Balboa,3.358
Paraguay,Guaraní,0.000564
Polonia,Zloty Polaco,0.883916
Reino Unido,Libra Esterlina,4.495915
República Dominicana,Peso de República Dominicana,0.057123
Singapur,Dólar de Singapur,2.631866
Suecia,Corona Sueca,0.341448
Suiza,Franco Suizo,4.084661
Tailandia,Baht,0.100841
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.105535
Turquía,Lira,0.068839
Unión,Europea Euro,3.85534
Uruguay,Peso Uruguayo,0.083698
Vietnam,Dong,0.000128
