pais,moneda,tc
Argentina,Peso Argentino,0.002418
Australia,Dólar Australiano,2.372654
"Bolivia, Estado Plurinacional de",Boliviano,0.49009
Brasil,Real,0.643611
Bulgaria,Lev,2.023588
Canadá,Dólar Canadiense,2.455999
Chile,Peso Chileno,0.003888
China,Yuan,0.487053
China,Yuan Chino Off-Shore,0.487484
Colombia,Peso Colombiano,0.000911
"Corea, República de (Sur)",Won Surcoreano,0.00232
Costa Rica,Colón de Costa Rica,0.007049
Ecuador,Dólar de N.A.,3.363
Emiratos Árabes Unidos,Dirham,0.9156
Estados Unidos de América,Dólar de N.A.,3.363
Federación Rusa (Rusia),Rublo,0.044075
Filipinas,Peso de Filipinas,0.057995
Georgia,Lari Georgiano,1.268577
Guatemala,Quetzal,0.438939
Hong Kong,Dólar de Hong Kong,0.43037
India,Rupia de la India,0.037087
Indonesia,Rupia de Indonesia,0.000198
Japón,Yen Japonés,0.021715
Malasia,Dólar Malasio o Ringgit,0.861315
México,Peso Mexicano,0.19494
Namibia,Dólar Namibio,0.208183
Nigeria,Naira Nigeriana,0.002505
Noruega,Corona Noruega,0.351571
Panamá,Balboa,3.363
Paraguay,Guaraní,0.000521
Polonia,Zloty Polaco,0.937107
Reino Unido,Libra Esterlina,4.526854
República Dominicana,Peso de República Dominicana,0.054995
Singapur,Dólar de Singapur,2.651789
Suecia,Corona Sueca,0.370811
Suiza,Franco Suizo,4.338236
Tailandia,Baht,0.107848
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.106607
Turquía,Lira,0.076861
Unión,Europea Euro,3.957868
Uruguay,Peso Uruguayo,0.086883
Vietnam,Dong,0.000131
