pais,moneda,tc
Argentina,Peso Argentino,0.002296
Australia,Dólar Australiano,2.375641
"Bolivia, Estado Plurinacional de",Boliviano,0.493953
Brasil,Real,0.66714
Bulgaria,Lev,1.986624
Canadá,Dólar Canadiense,2.413399
Chile,Peso Chileno,0.003664
China,Yuan,0.500427
China,Yuan Chino Off-Shore,0.50042
Colombia,Peso Colombiano,0.001053
"Corea, República de (Sur)",Won Surcoreano,0.002279
Costa Rica,Colón de Costa Rica,0.007534
Ecuador,Dólar de N.A.,3.386
Emiratos Árabes Unidos,Dirham,0.921886
Estados Unidos de América,Dólar de N.A.,3.386
Federación Rusa (Rusia),Rublo,0.044231
Filipinas,Peso de Filipinas,0.054907
Georgia,Lari Georgiano,1.297319
Guatemala,Quetzal,0.444358
Hong Kong,Dólar de Hong Kong,0.431949
India,Rupia de la India,0.035174
Indonesia,Rupia de Indonesia,0.000186
Japón,Yen Japonés,0.020909
Malasia,Dólar Malasio o Ringgit,0.830718
México,Peso Mexicano,0.194983
Namibia,Dólar Namibio,0.207816
Nigeria,Naira Nigeriana,0.002451
Noruega,Corona Noruega,0.351044
Panamá,Balboa,3.386
Paraguay,Guaraní,0.000559
Polonia,Zloty Polaco,0.899504
Reino Unido,Libra Esterlina,4.588077
República Dominicana,Peso de República Dominicana,0.058094
Singapur,Dólar de Singapur,2.628884
Suecia,Corona Sueca,0.353045
Suiza,Franco Suizo,4.209871
Tailandia,Baht,0.100943
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.105173
Turquía,Lira,0.072
Unión,Europea Euro,3.885256
Uruguay,Peso Uruguayo,0.084335
Vietnam,Dong,0.000129
