fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-02-17,17/02/2026,oferta_demanda,Dólar de N.A.,,3.344,3.348,,,
2026-02-17,17/02/2026,oferta_demanda,Dólar Canadiense,,2.362,2.461,,,
2026-02-17,17/02/2026,oferta_demanda,Libra Esterlina,,4.186,4.67,,,
2026-02-17,17/02/2026,oferta_demanda,Yen Japonés,,0.021,0.025,,,
2026-02-17,17/02/2026,oferta_demanda,Peso Mexicano,,0.194,0.195,,,
2026-02-17,17/02/2026,oferta_demanda,Franco Suizo,,3.974,4.424,,,
2026-02-17,17/02/2026,oferta_demanda,Euro,,3.811,4.094,,,
2026-02-17,17/02/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-02-17,17/02/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,3.345,3.345,3.345
2026-02-17,17/02/2026,mercado_profesional,Dólar de N.A.,,,,3.3455,,
