pais,moneda,tc
Argentina,Peso Argentino,0.002255
Australia,Dólar Australiano,2.375275
"Bolivia, Estado Plurinacional de",Boliviano,0.288678
Brasil,Real,0.648406
Bulgaria,Lev,1.984085
Canadá,Dólar Canadiense,2.415155
Chile,Peso Chileno,0.003682
China,Yuan,0.499161
China,Yuan Chino Off-Shore,0.49903
Colombia,Peso Colombiano,0.00108
"Corea, República de (Sur)",Won Surcoreano,0.002373
Costa Rica,Colón de Costa Rica,0.00753
Ecuador,Dólar de N.A.,3.366
Emiratos Árabes Unidos,Dirham,0.916468
Estados Unidos de América,Dólar de N.A.,3.366
Federación Rusa (Rusia),Rublo,0.040998
Filipinas,Peso de Filipinas,0.054883
Georgia,Lari Georgiano,1.29861
Guatemala,Quetzal,0.441525
Hong Kong,Dólar de Hong Kong,0.42896
India,Rupia de la India,0.035269
Indonesia,Rupia de Indonesia,0.000188
Japón,Yen Japonés,0.021101
Malasia,Dólar Malasio o Ringgit,0.82399
México,Peso Mexicano,0.197446
Namibia,Dólar Namibio,0.207652
Nigeria,Naira Nigeriana,0.002474
Noruega,Corona Noruega,0.353972
Panamá,Balboa,3.366
Paraguay,Guaraní,0.000562
Polonia,Zloty Polaco,0.900459
Reino Unido,Libra Esterlina,4.538223
República Dominicana,Peso de República Dominicana,0.057761
Singapur,Dólar de Singapur,2.62825
Suecia,Corona Sueca,0.351784
Suiza,Franco Suizo,4.138184
Tailandia,Baht,0.101448
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.104693
Turquía,Lira,0.070464
Unión,Europea Euro,3.880564
Uruguay,Peso Uruguayo,0.083534
Vietnam,Dong,0.000128
