pais,moneda,tc
Argentina,Peso Argentino,0.002208
Australia,Dólar Australiano,2.399569
"Bolivia, Estado Plurinacional de",Boliviano,0.289108
Brasil,Real,0.649188
Bulgaria,Lev,1.992851
Canadá,Dólar Canadiense,2.410986
Chile,Peso Chileno,0.003633
China,Yuan,0.497575
China,Yuan Chino Off-Shore,0.497552
Colombia,Peso Colombiano,0.00107
"Corea, República de (Sur)",Won Surcoreano,0.002415
Costa Rica,Colón de Costa Rica,0.007443
Ecuador,Dólar de N.A.,3.345
Emiratos Árabes Unidos,Dirham,0.910723
Estados Unidos de América,Dólar de N.A.,3.345
Federación Rusa (Rusia),Rublo,0.039762
Filipinas,Peso de Filipinas,0.054283
Georgia,Lari Georgiano,1.291505
Guatemala,Quetzal,0.438984
Hong Kong,Dólar de Hong Kong,0.426725
India,Rupia de la India,0.035059
Indonesia,Rupia de Indonesia,0.000187
Japón,Yen Japonés,0.020987
Malasia,Dólar Malasio o Ringgit,0.831263
México,Peso Mexicano,0.197258
Namibia,Dólar Namibio,0.209521
Nigeria,Naira Nigeriana,0.002489
Noruega,Corona Noruega,0.357751
Panamá,Balboa,3.345
Paraguay,Guaraní,0.000565
Polonia,Zloty Polaco,0.90408
Reino Unido,Libra Esterlina,4.547307
República Dominicana,Peso de República Dominicana,0.057651
Singapur,Dólar de Singapur,2.63013
Suecia,Corona Sueca,0.350944
Suiza,Franco Suizo,4.153731
Tailandia,Baht,0.101885
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.10513
Turquía,Lira,0.069526
Unión,Europea Euro,3.897694
Uruguay,Peso Uruguayo,0.083204
Vietnam,Dong,0.000127
