pais,moneda,tc
Argentina,Peso Argentino,0.002471
Australia,Dólar Australiano,2.376407
"Bolivia, Estado Plurinacional de",Boliviano,0.49743
Brasil,Real,0.667043
Bulgaria,Lev,2.027967
Canadá,Dólar Canadiense,2.469464
Chile,Peso Chileno,0.00375
China,Yuan,0.499455
China,Yuan Chino Off-Shore,0.499664
Colombia,Peso Colombiano,0.000935
"Corea, República de (Sur)",Won Surcoreano,0.002279
Costa Rica,Colón de Costa Rica,0.007441
Ecuador,Dólar de N.A.,3.437
Emiratos Árabes Unidos,Dirham,0.935747
Estados Unidos de América,Dólar de N.A.,3.437
Federación Rusa (Rusia),Rublo,0.043674
Filipinas,Peso de Filipinas,0.057284
Georgia,Lari Georgiano,1.290164
Guatemala,Quetzal,0.449573
Hong Kong,Dólar de Hong Kong,0.438572
India,Rupia de la India,0.036934
Indonesia,Rupia de Indonesia,0.000203
Japón,Yen Japonés,0.021512
Malasia,Dólar Malasio o Ringgit,0.854019
México,Peso Mexicano,0.193111
Namibia,Dólar Namibio,0.203632
Nigeria,Naira Nigeriana,0.002492
Noruega,Corona Noruega,0.354021
Panamá,Balboa,3.437
Paraguay,Guaraní,0.000533
Polonia,Zloty Polaco,0.929018
Reino Unido,Libra Esterlina,4.545694
República Dominicana,Peso de República Dominicana,0.056717
Singapur,Dólar de Singapur,2.674917
Suecia,Corona Sueca,0.364088
Suiza,Franco Suizo,4.30486
Tailandia,Baht,0.105516
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.107623
Turquía,Lira,0.077106
Unión,Europea Euro,3.966532
Uruguay,Peso Uruguayo,0.08476
Vietnam,Dong,0.000131
