pais,moneda,tc
Argentina,Peso Argentino,0.002279
Australia,Dólar Australiano,2.384871
"Bolivia, Estado Plurinacional de",Boliviano,0.285281
Brasil,Real,0.669191
Bulgaria,Lev,2.000001
Canadá,Dólar Canadiense,2.423723
Chile,Peso Chileno,0.00366
China,Yuan,0.502362
China,Yuan Chino Off-Shore,0.502691
Colombia,Peso Colombiano,0.001092
"Corea, República de (Sur)",Won Surcoreano,0.002388
Costa Rica,Colón de Costa Rica,0.00753
Ecuador,Dólar de N.A.,3.392
Emiratos Árabes Unidos,Dirham,0.923519
Estados Unidos de América,Dólar de N.A.,3.392
Federación Rusa (Rusia),Rublo,0.042848
Filipinas,Peso de Filipinas,0.05511
Georgia,Lari Georgiano,1.305367
Guatemala,Quetzal,0.445146
Hong Kong,Dólar de Hong Kong,0.432521
India,Rupia de la India,0.035453
Indonesia,Rupia de Indonesia,0.000187
Japón,Yen Japonés,0.021336
Malasia,Dólar Malasio o Ringgit,0.829846
México,Peso Mexicano,0.195467
Namibia,Dólar Namibio,0.205725
Nigeria,Naira Nigeriana,0.002483
Noruega,Corona Noruega,0.356133
Panamá,Balboa,3.392
Paraguay,Guaraní,0.00057
Polonia,Zloty Polaco,0.908432
Reino Unido,Libra Esterlina,4.570198
República Dominicana,Peso de República Dominicana,0.058383
Singapur,Dólar de Singapur,2.646693
Suecia,Corona Sueca,0.356191
Suiza,Franco Suizo,4.217331
Tailandia,Baht,0.101655
"Taiwán, Provincia de China",Nuevo Dólar de Taiwan,0.104518
Turquía,Lira,0.071544
Unión,Europea Euro,3.911441
Uruguay,Peso Uruguayo,0.084485
Vietnam,Dong,0.000129
