fecha_iso,fecha_publicada,tipo,moneda,operacion,compra,venta,promedio_ponderado,minimo,maximo
2026-07-06,06/07/2026,oferta_demanda,Dólar de N.A.,,3.399,3.411,,,
2026-07-06,06/07/2026,oferta_demanda,Dólar Canadiense,,2.261,2.707,,,
2026-07-06,06/07/2026,oferta_demanda,Libra Esterlina,,4.388,4.787,,,
2026-07-06,06/07/2026,oferta_demanda,Yen Japonés,,,0.021,,,
2026-07-06,06/07/2026,oferta_demanda,Peso Mexicano,,,0.196,,,
2026-07-06,06/07/2026,oferta_demanda,Franco Suizo,,3.898,4.373,,,
2026-07-06,06/07/2026,oferta_demanda,Euro,,3.826,3.998,,,
2026-07-06,06/07/2026,mesa_bcr,Dólar de N.A.,VENTA,,,,,
2026-07-06,06/07/2026,mesa_bcr,Dólar de N.A.,COMPRA,,,,,
2026-07-06,06/07/2026,mercado_profesional,Dólar de N.A.,,,,3.4053,,
